page_url,source,followers,date,time,post_type,interactions,post_message,post_link,time_zone
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-10-23,12:07:00,Facebook,5162,Residents of Kansas city rally in support of Muslims!,https://www.facebook.com/MuslimAmerica/posts/1692929471024154,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-06-29,14:09:00,Facebook,5106,"Over 40 dead, 140 injured. Keep our brothers and sisters in Turkey in your thoughts and prayers these last 10 days of Ramadan. #PrayForTurkey",https://www.facebook.com/MuslimAmerica/posts/1629123247404777,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,270595,2017-04-26,11:08:46,Facebook,5097,Do you Support Hijabis ??? Share Share Share please !,https://www.facebook.com/MuslimAmerica/posts/1797557920561308,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-09-25,13:16:00,Facebook,5096,"She defends the country, do you ? Do you dare to #standwithher ?",https://www.facebook.com/MuslimAmerica/posts/1676336992683402,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-12-16,12:33:45,Facebook,4977,True fact Alhamdolellah ....,https://www.facebook.com/MuslimAmerica/posts/1724849634498804,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,326838,2017-08-12,11:06:00,Facebook,4931,"They say Islam is in the heart, not hijab, they don't understand that when Islam is in the heart, hijab come naturally...Modesty is the way you deal with beauty, not how you avoid it...",https://www.facebook.com/MuslimAmerica/posts/1854546834862416,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,202339,2016-12-30,15:32:00,Facebook,4903,You can be Anyone from Anywhere BUT IN ISLAM WE ARE ALL THE SAME!,https://www.facebook.com/MuslimAmerica/posts/1731849653798802,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,316668,2017-07-06,14:42:00,Facebook,4841,Ask your self who is benefiting from the destruction of the middle east ???,https://www.facebook.com/MuslimAmerica/posts/1835519536765146,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,317206,2017-07-07,16:32:00,Facebook,4807,What's you problem with a woman who wants to cover her hair anyway ???,https://www.facebook.com/MuslimAmerica/posts/1835520373431729,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,320640,2017-07-19,12:11:00,Facebook,4799,Let's see how many supporters fo our sister from New York...,https://www.facebook.com/MuslimAmerica/posts/1842967462687020,GMT-0400 
