source,page_url,followers,date,time,time_zone,interactions,post_type,post_message,post_link
I Love Texas,Facebook.com/Txrebels,359630,2017-03-26,14:16:21, GMT-0400,6693,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1235856943150344
Heart of Texas,Facebook.com/Txrebels,186855,2017-03-02,18:00:00, GMT-0500,6614,Facebook,,https://www.facebook.com/txrebels/posts/1146906175431204
Heart of Texas,Facebook.com/Txrebels,221476,2017-05-26,16:28:00, GMT-0400,6599,Facebook,,https://www.facebook.com/txrebels/posts/1231120853676402
Heart of Texas,Facebook.com/Txrebels,223079,2017-06-04,18:09:00, GMT-0400,6597,Facebook,,https://www.facebook.com/txrebels/posts/1239916082796879
Heart of Texas,Facebook.com/Txrebels,160428,2016-12-13,13:12:01, GMT-0500,6582,Facebook,,https://www.facebook.com/txrebels/posts/1072897776165378
Heart of Texas,Facebook.com/Txrebels,167821,2017-01-04,18:00:00, GMT-0500,6535,Facebook,,https://www.facebook.com/txrebels/posts/1084078908380598
Heart of Texas,Facebook.com/Txrebels,198622,2017-03-28,19:32:00, GMT-0400,6491,Facebook,,https://www.facebook.com/txrebels/posts/1171929192928902
Heart of Texas,Facebook.com/Txrebels,183464,2017-02-22,17:30:00, GMT-0500,6480,Facebook,,https://www.facebook.com/txrebels/posts/1138880602900428
Heart of Texas,Facebook.com/Txrebels,244433,2017-08-02,11:00:00, GMT-0400,6439,Facebook,,https://www.facebook.com/txrebels/posts/1305167432938410
Heart of Texas,Facebook.com/Txrebels,183464,2017-02-22,19:00:01, GMT-0500,6423,Facebook,,https://www.facebook.com/txrebels/posts/1138881909566964
Heart of Texas,Facebook.com/Txrebels,245082,2017-08-05,18:30:00, GMT-0400,6413,Facebook,,https://www.facebook.com/txrebels/posts/1307216012733552
Heart of Texas,Facebook.com/Txrebels,238913,2017-07-16,20:12:00, GMT-0400,6400,Facebook,,https://www.facebook.com/txrebels/posts/1285048148283672
Heart of Texas,Facebook.com/Txrebels,246612,2017-08-11,17:30:00, GMT-0400,6338,Facebook,,https://www.facebook.com/txrebels/posts/1314006918721128
Heart of Texas,Facebook.com/Txrebels,222446,2017-06-01,20:00:00, GMT-0400,6329,Facebook,,https://www.facebook.com/txrebels/posts/1238727922915695
Heart of Texas,Facebook.com/Txrebels,168107,2017-01-05,15:09:00, GMT-0500,6328,Facebook,,https://www.facebook.com/txrebels/posts/1084069215048234
Heart of Texas,Facebook.com/Txrebels,215789,2017-05-04,18:00:00, GMT-0400,6323,Facebook,,https://www.facebook.com/txrebels/posts/1203141946474293
Heart of Texas,Facebook.com/Txrebels,202154,2017-04-10,19:00:00, GMT-0400,6320,Facebook,,https://www.facebook.com/txrebels/posts/1187315771390244
Heart of Texas,Facebook.com/Txrebels,199162,2017-03-29,19:00:00, GMT-0400,6316,Facebook,,https://www.facebook.com/txrebels/posts/1170776883044133
Heart of Texas,Facebook.com/Txrebels,194687,2017-03-24,16:59:00, GMT-0400,6308,Facebook,,https://www.facebook.com/txrebels/posts/1167856170002871
Heart of Texas,Facebook.com/Txrebels,164428,2016-12-27,15:59:00, GMT-0500,6305,Facebook,,https://www.facebook.com/txrebels/posts/1084810038307485
Heart of Texas,Facebook.com/Txrebels,239570,2017-07-19,20:00:00, GMT-0400,6295,Facebook,,https://www.facebook.com/txrebels/posts/1290149184440235
Heart of Texas,Facebook.com/Txrebels,159622,2016-12-08,13:05:31, GMT-0500,6261,Facebook,,https://www.facebook.com/txrebels/posts/1067498296705326
Heart of Texas,Facebook.com/Txrebels,172343,2017-01-20,15:59:01, GMT-0500,6237,Facebook,,https://www.facebook.com/txrebels/posts/1106041789517643
Heart of Texas,Facebook.com/Txrebels,210871,2017-04-18,18:00:00, GMT-0400,6198,Facebook,,https://www.facebook.com/txrebels/posts/1196894787099009
Heart of Texas,Facebook.com/Txrebels,167106,2017-01-02,18:30:00, GMT-0500,6157,Facebook,,https://www.facebook.com/txrebels/posts/1081740795281076
Heart of Texas,Facebook.com/Txrebels,250245,2017-08-24,18:00:00, GMT-0400,6090,Facebook,,https://www.facebook.com/txrebels/posts/1328137973974689
Heart of Texas,Facebook.com/Txrebels,245850,2017-08-07,20:30:00, GMT-0400,6087,Facebook,,https://www.facebook.com/txrebels/posts/1310211809100639
Heart of Texas,Facebook.com/Txrebels,186855,2017-03-02,18:30:00, GMT-0500,6086,Facebook,,https://www.facebook.com/txrebels/posts/1146906368764518
Heart of Texas,Facebook.com/Txrebels,189051,2017-03-06,15:00:01, GMT-0500,6069,Facebook,,https://www.facebook.com/txrebels/posts/1150331601755328
Heart of Texas,Facebook.com/Txrebels,214912,2017-04-29,18:00:00, GMT-0400,6062,Facebook,,https://www.facebook.com/txrebels/posts/1203134823141672
Heart of Texas,Facebook.com/Txrebels,230328,2017-06-19,18:00:00, GMT-0400,6050,Facebook,,https://www.facebook.com/txrebels/posts/1259540654167755
Heart of Texas,Facebook.com/Txrebels,249770,2017-08-23,16:00:00, GMT-0400,6027,Facebook,,https://www.facebook.com/txrebels/posts/1327028174085669
Heart of Texas,Facebook.com/Txrebels,200519,2017-04-02,16:01:00, GMT-0400,6007,Facebook,,https://www.facebook.com/txrebels/posts/1173080246147130
Heart of Texas,Facebook.com/Txrebels,164245,2016-12-26,18:00:00, GMT-0500,5998,Facebook,,https://www.facebook.com/txrebels/posts/1084070091714813
Heart of Texas,Facebook.com/Txrebels,174092,2017-01-27,19:00:00, GMT-0500,5924,Facebook,,https://www.facebook.com/txrebels/posts/1114508495337639
Heart of Texas,Facebook.com/Txrebels,160117,2016-12-11,09:57:00, GMT-0500,5916,Facebook,,https://www.facebook.com/txrebels/posts/1068560569932432
Heart of Texas,Facebook.com/Txrebels,245271,2017-08-06,18:00:00, GMT-0400,5906,Facebook,,https://www.facebook.com/txrebels/posts/1307218916066595
Heart of Texas,Facebook.com/Txrebels,250245,2017-08-24,16:00:00, GMT-0400,5890,Facebook,,https://www.facebook.com/txrebels/posts/1328133317308488
Heart of Texas,Facebook.com/Txrebels,220906,2017-05-22,18:30:00, GMT-0400,5886,Facebook,,https://www.facebook.com/txrebels/posts/1229356260519528
Heart of Texas,Facebook.com/Txrebels,236882,2017-07-12,19:11:00, GMT-0400,5870,Facebook,,https://www.facebook.com/txrebels/posts/1282907121831108
Heart of Texas,Facebook.com/Txrebels,166820,2017-01-01,17:00:00, GMT-0500,5843,Facebook,,https://www.facebook.com/txrebels/posts/1080293555425800
I Love Texas,Facebook.com/Txrebels,377963,2017-07-11,18:07:40, GMT-0400,5842,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1339586226110748
Heart of Texas,Facebook.com/Txrebels,194098,2017-03-22,16:56:00, GMT-0400,5828,Facebook,,https://www.facebook.com/txrebels/posts/1165813493540472
Heart of Texas,Facebook.com/Txrebels,220459,2017-05-21,18:31:00, GMT-0400,5805,Facebook,,https://www.facebook.com/txrebels/posts/1226804760774678
Heart of Texas,Facebook.com/Txrebels,234858,2017-07-06,19:00:00, GMT-0400,5796,Facebook,,https://www.facebook.com/txrebels/posts/1274937632628057
Heart of Texas,Facebook.com/Txrebels,231749,2017-06-21,19:30:00, GMT-0400,5783,Facebook,,https://www.facebook.com/txrebels/posts/1261490203972800
Heart of Texas,Facebook.com/Txrebels,242468,2017-07-29,15:00:00, GMT-0400,5778,Facebook,,https://www.facebook.com/txrebels/posts/1301388733316280
Heart of Texas,Facebook.com/Txrebels,229567,2017-06-18,16:31:00, GMT-0400,5770,Facebook,,https://www.facebook.com/txrebels/posts/1256349214486899
Heart of Texas,Facebook.com/Txrebels,212515,2017-04-23,18:00:00, GMT-0400,5736,Facebook,,https://www.facebook.com/txrebels/posts/1201771156611372
Heart of Texas,Facebook.com/Txrebels,247597,2017-08-15,20:00:00, GMT-0400,5733,Facebook,,https://www.facebook.com/txrebels/posts/1318361168285703
Heart of Texas,Facebook.com/Txrebels,216268,2017-05-06,19:04:00, GMT-0400,5696,Facebook,,https://www.facebook.com/txrebels/posts/1203149086473579
Heart of Texas,Facebook.com/Txrebels,167434,2017-01-03,19:04:01, GMT-0500,5675,Facebook,,https://www.facebook.com/txrebels/posts/1081755741946248
Heart of Texas,Facebook.com/Txrebels,247597,2017-08-15,18:00:00, GMT-0400,5670,Facebook,,https://www.facebook.com/txrebels/posts/1318198461635307
Heart of Texas,Facebook.com/Txrebels,163007,2016-12-21,14:00:36, GMT-0500,5665,Facebook,,https://www.facebook.com/txrebels/posts/1080287188759770
Heart of Texas,Facebook.com/Txrebels,238057,2017-07-14,20:04:00, GMT-0400,5664,Facebook,,https://www.facebook.com/txrebels/posts/1285042851617535
Heart of Texas,Facebook.com/Txrebels,199162,2017-03-29,16:51:00, GMT-0400,5606,Facebook,,https://www.facebook.com/txrebels/posts/1172998659488622
Heart of Texas,Facebook.com/Txrebels,171919,2017-01-18,15:59:01, GMT-0500,5602,Facebook,,https://www.facebook.com/txrebels/posts/1104069799714842
Heart of Texas,Facebook.com/Txrebels,186255,2017-03-01,18:00:00, GMT-0500,5587,Facebook,,https://www.facebook.com/txrebels/posts/1146087565513065
Heart of Texas,Facebook.com/Txrebels,184091,2017-02-24,15:52:00, GMT-0500,5550,Facebook,,https://www.facebook.com/txrebels/posts/1138884952899993
Heart of Texas,Facebook.com/Txrebels,240491,2017-07-24,13:30:00, GMT-0400,5546,Facebook,,https://www.facebook.com/txrebels/posts/1295512047237282
Heart of Texas,Facebook.com/Txrebels,249470,2017-08-21,16:00:00, GMT-0400,5545,Facebook,,https://www.facebook.com/txrebels/posts/1325138850941268
Heart of Texas,Facebook.com/Txrebels,236308,2017-07-10,16:15:00, GMT-0400,5530,Facebook,,https://www.facebook.com/txrebels/posts/1280886122033208
